uin,archive_status,financial_year,insurer,product_name,approval_date,product_type,document_url,document_text,scraped_at,approval_date_iso,insurer_code,uin_category,uin_type,uin_serial,uin_version,canonical_insurer,line_key,version_num,is_latest_version,product_key,score
SHAHLIP22199V062122,Non-Archived,2021-2022,Star Health & Allied Insurance Co. Ltd,Senior Citizens Red Carpet Health Insurance Policy,27-01-2022,Revision,https://irdai.gov.in/documents/37343/931203/SHAHLIP22199V062122.pdf/e5830765-7541-0484-9119-330738250254?version=1.1&t=1668853579702&download=true,SHAHLIP22199V062122.pdf,2026-08-21T06:22:28.557237+00:00,2022-01-27,SHA,HL,IP,22199,06,Star Health and Allied Insurance Company Limited,SHA|HL|IP|22199,6,True,senior citizens red carpet health,198
TATHLIP21259V022021,Non-Archived,2020-2021,Tata AIG General Insurance Co. Ltd.,MediRaksha,17-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/TATHLIP21259V022021_2020-2021.pdf/ab0f0917-3c4c-9d6c-0deb-5d76a047f79d?version=1.1&t=1668592846966&download=true,TATHLIP21259V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-17,TAT,HL,IP,21259,02,Tata AIG General Insurance Company Limited,TAT|HL|IP|21259,2,True,mediraksha,194
ADIHLIP21069V022021,Non-Archived,2020-2021,Aditya Birla Health Insurance Co. Ltd.,Global Health Secure,07-06-2020,Revision,https://irdai.gov.in/documents/37343/931203/ADIHLIP21069V022021_2020-2021.pdf/c495a7d9-cd74-dcce-dc85-2098289c360b?version=1.1&t=1668580955595&download=true,ADIHLIP21069V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-06-07,ADI,HL,IP,21069,02,Aditya Birla Health Insurance Company Limited,ADI|HL|IP|21069,2,True,global health secure,194
BAJHLIP21142V022021,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,Women Specific Critical Illness Plan,08-12-2020,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP21142V022021_2020-2021.pdf/3a159160-a0c1-63d2-ae72-6c49600972b1?version=1.1&t=1668581622619&download=true,BAJHLIP21142V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-12-08,BAJ,HL,IP,21142,02,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|21142,2,True,women specific critical illness,194
RHIHLIP21371V022021,Non-Archived,2020-2021,Care Health Insurance Ltd.,Care Heart,21-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/RHIHLIP21371V022021_2020-2021.pdf/844e2185-d4cd-25ae-f2d4-37d72b46bb84?version=1.0&t=1638535876112&download=true,RHIHLIP21371V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-21,RHI,HL,IP,21371,02,Care Health Insurance Limited,RHI|HL|IP|21371,2,True,care heart,194
HDFHLIP21016V012122,Non-Archived,2021-2022,HDFC ERGO General Insurance Co. Ltd.,my: Optima Secure,12-05-2021,Individual,https://irdai.gov.in/documents/37343/931203/HDFHLIP21016V012122_HEALTH2015.pdf/4fbd60f7-de9c-ab82-13ff-1d71b1458e4a?version=1.1&t=1668845173038&download=true,HDFHLIP21016V012122_HEALTH2015.pdf,2026-08-21T06:22:28.557237+00:00,2021-05-12,HDF,HL,IP,21016,01,HDFC ERGO General Insurance Company Limited,HDF|HL|IP|21016,1,True,my optima secure,196
ICIHLIP21627V012021,Non-Archived,2020-2021,ICICI Lombard General Insurance Co Ltd,ICICI Lombard Mashak (Mosquito) Rakshak,31-03-2021,New,https://irdai.gov.in/documents/37343/931203/ICIHLIP21627V012021_2020-2021.pdf/84204ec2-cd2d-4018-d1bd-18a7627372cd?version=1.1&t=1668583708137&download=true,ICIHLIP21627V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2021-03-31,ICI,HL,IP,21627,01,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|21627,1,True,icici lombard mashak mosquito rakshak,196
MCIHLIP21129V022021,Non-Archived,2020-2021,Manipal Cigna Health Insurance Company Limited,ManipalCigna ProHealth Select,29-07-2020,Revision,https://irdai.gov.in/documents/37343/931203/MCIHLIP21129V022021_2020-2021.pdf/4901b47d-a509-ceed-d4dc-3c9081663656?version=1.1&t=1668593944509&download=true,MCIHLIP21129V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-07-29,MCI,HL,IP,21129,02,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|21129,2,True,manipalcigna prohealth select,194
MAXHLIP21408V02202,Non-Archived,2020-2021,Max Bupa Health Insurance Co. Ltd,Max Health Plus,23-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/MAXHLIP21408V02202_2020-2021.pdf/1fa52a81-37bd-ff34-7d1a-201fdbf741cc?version=1.1&t=1668595552880&download=true,MAXHLIP21408V02202_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-23,MAX,HL,IP,21408,02,Niva Bupa Health Insurance Company Limited,MAX|HL|IP|21408,2,True,max health plus,194
SBIHLIP21043V012122,Non-Archived,2021-2022,SBI General Insurance Co. Ltd.,Arogya Supreme,04-06-2021,Individual,https://irdai.gov.in/documents/37343/931203/SBIHLIP21043V012122_HEALTH2046.pdf/a7ae7064-d08b-718d-e2b0-ed00576693a9?version=1.1&t=1668768148722&download=true,SBIHLIP21043V012122_HEALTH2046.pdf,2026-08-21T06:22:28.557237+00:00,2021-06-04,SBI,HL,IP,21043,01,SBI General Insurance Company Limited,SBI|HL|IP|21043,1,True,arogya supreme,196
